rank,country,region,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
1,United States,North America,341963408,150463900,124816644,4445524,1328000,799500,0,13043,1790,889,918,2647,647,605,5843,1002,4640,391963,671,1212,641,440,4168037,11,9,70,81,0,26,0,8,8.95E+11,2.23035E+13,2.4662E+13,7.73426E+11,15873,170549000,666,3533,293564,6586610,20879000,20245000,38212000000,1.029E+12,9.14301E+11,1.3402E+13,548849000,476044000,2.48941E+11,9833517,19924,12002,41009
2,Russia,Asia,140820810,69002197,46189226,1267387,1320000,2000000,250000,4292,833,689,456,611,141,19,1651,557,5750,131527,5168,8505,3005,419,1260447,1,0,63,10,12,83,123,47,1.26E+11,3.17651E+11,5.816E+12,5.97217E+11,904,72408000,67,2910,85494,1283387,10727000,3684000,80000000000,6.1783E+11,4.72239E+11,4.7805E+13,508190000,310958000,1.62166E+11,17098242,37653,22407,102000
3,China,Asia,1415043270,764123366,626864169,19810606,2035000,510000,625000,3309,1212,371,289,402,112,10,913,281,6800,144017,3490,1000,2750,754,2857143,3,4,61,50,47,72,150,36,2.6685E+11,1.21846E+12,3.1227E+13,3.45E+12,531,779246000,66,8314,150000,5200000,4984000,15148000,26023000000,2.25341E+11,3.6616E+11,6.654E+12,4827000000,5313000000,1.43197E+11,9596960,14500,22457,27700
4,India,Asia,1409128296,662290299,522786598,23955181,1455550,1155000,2527000,2229,513,130,270,351,74,6,899,80,4201,148594,100,3975,264,293,593603,2,0,18,13,14,18,135,0,75000000000,3.71021E+11,1.3104E+13,6.27793E+11,311,593729000,56,1859,65554,6371847,795000,5049000,4605000000,33170000000,58867000000,1.381E+12,985671000,1200000000,1.11052E+11,3287263,7000,13888,14500
5,South Korea,Asia,52081799,26040900,21353538,416654,600000,3100000,120000,1592,315,98,41,318,36,4,807,111,2236,58880,3270,4400,426,227,344786,0,2,22,13,17,5,35,14,46300000000,5.0352E+11,2.615E+12,4.2093E+11,89,29611000,15,2149,3979,100428,38000,2452000,0,55127000,59480000000,7079000000,15595000,136413000,326000000,99720,2413,237,1600
6,United Kingdom,Europe,68459055,31491165,25192932,753050,184860,924000,0,631,113,31,29,203,28,9,266,37,227,38200,71,126,29,109,394043,2,0,9,6,8,0,26,7,71500540000,9.59375E+12,3.7E+12,1.77915E+11,1043,35275000,185,868,16390,394428,753000,1397000,2500000000,37758000000,70141000000,1.80661E+11,1891000,8568000,26000000,243610,12429,443,3200
7,France,Europe,68374591,30084820,23794358,752121,200000,26000,150000,976,226,0,119,141,44,16,448,68,215,110932,96,0,9,129,428765,1,3,9,11,11,0,20,17,55000000000,6.9921E+12,3.764E+12,2.40792E+11,689,31825000,66,553,27860,1053215,80000,1554000,61719000,20132000,37001000000,7787000000,2419000,12985000,160000000,643801,4853,4072,8501
8,Japan,Asia,123201945,52976836,42874277,1108818,247150,56000,25000,1443,217,38,55,401,141,10,596,119,521,31964,149,480,54,159,769882,0,4,24,42,6,0,6,22,57000000000,4.6797E+12,5.761E+12,1.295E+12,279,69349000,163,5229,27311,1218772,8000,3289000,44115000,2220000000,92843000000,20898000000,29141000,216332000,350000000,377915,29751,0,1770
9,Turkiye,Asia,84119531,42985080,36087279,1430032,355200,378700,150000,1083,201,0,84,287,28,7,508,111,2238,61173,1038,1707,296,182,325729,0,1,13,0,17,9,41,11,47000000000,2.94441E+11,2.936E+12,1.40858E+11,115,35071000,54,1170,11497,67333,83000,1077000,366000000,379701000,2887000000,3794000000,88746000,123976000,11525000000,783562,7200,2816,1200
10,Italy,Europe,60964931,27434219,22191235,548684,165500,18500,105000,729,89,67,30,162,23,8,392,37,200,73480,64,108,21,196,359417,2,0,8,3,10,0,19,10,30890000000,2.75E+12,3.097E+12,2.47396E+11,636,25669000,123,1276,18475,487700,116000,1246000,497934000,3117000000,68735000000,45750000000,1618000,13127000,609999000,301340,7600,1836,2400
11,Brazil,South America,220051512,112226271,88680759,3520824,360000,340000,200000,513,43,38,109,133,25,0,191,0,294,22464,109,412,38,64,135737,0,1,4,0,6,2,23,3,26157300000,4.32224E+11,4.016E+12,3.55021E+11,4919,108695000,45,888,29850,2000000,4221000,3027000,12715000000,22670000000,31654000000,3.63985E+11,15644000,32787000,6596000000,8515770,7491,16145,50000
12,Pakistan,Asia,252363571,108516336,85803614,4794908,654000,550000,500000,1399,328,90,64,565,27,4,373,57,2627,17516,662,2629,600,121,111715,0,0,8,0,9,9,69,3,7640000000,92426000000,1.347E+12,13730000000,116,80990000,3,60,11881,264175,101000,473000,540000000,36937000000,46448000000,5.92219E+11,12712000,34027000,3064000000,796095,1046,7257,0
13,Indonesia,Asia,281562465,137965608,114595923,4786562,400000,400000,250000,459,41,34,70,112,17,1,214,15,331,20440,153,396,63,331,304168,0,0,4,0,7,25,211,12,10600000000,4.4E+11,3.906E+12,1.46359E+11,513,140931000,123,11422,8159,496607,865000,1728000,2480000000,57410000000,36061000000,1.408E+12,659357000,202283000,34869000000,1904569,54716,2958,21579
14,Germany,Europe,84119100,38694786,30955829,841191,181600,34000,0,584,129,63,50,35,26,3,309,54,296,83260,134,0,33,61,228552,0,0,6,0,11,5,0,12,50000000000,6.23861E+12,5.23E+12,3.227E+11,838,44784000,35,595,39379,830000,131000,2052000,115200000,4824000000,77516000000,23390000000,138981000,186725000,35900000000,357022,2389,3694,7300
15,Israel,Asia,9402617,3949099,3281513,131637,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,38238,0,0,5,0,0,7,46,0,30500000000,1.485E+11,4.7103E+11,2.04661E+11,37,4554000,5,41,1497,20391,15000,230000,12730000,22886000000,11510000000,1.76018E+11,0,6476000,0,21937,273,1068,0
16,Iran,Asia,88386937,49496685,41541860,1414191,610000,350000,220000,551,188,21,87,103,10,6,128,13,1713,65825,392,2070,1517,107,223395,0,0,25,0,7,3,21,1,15450000000,4134926000,1.44E+12,1.206E+11,173,29159000,18,965,8484,223485,3985000,2136000,2.086E+11,2.6328E+11,2.4489E+11,3.3987E+13,2791000,3531000,1203000000,1648195,2440,5894,850
17,Spain,Europe,47280433,21748999,17635602,330963,133282,15150,78470,461,137,12,51,140,8,0,153,17,317,17626,95,287,0,152,215346,1,0,2,0,11,0,22,6,23397000000,2.57274E+12,2.242E+12,1.03089E+11,363,24108000,52,503,15489,683175,47000,1269000,150000000,41009000,32833000000,2549000000,1293000,8255000,1187000000,505370,4964,1953,1000
18,Australia,Oceania,26768598,11242811,9208398,294455,57350,32050,0,327,24,62,38,98,30,6,69,22,59,15648,0,48,0,44,185648,0,2,6,3,7,0,10,3,55700000000,3.4275E+12,1.584E+12,61703000000,2180,14501000,66,604,36064,873573,386000,1123000,2446000000,1.53783E+11,50188000000,3.228E+12,465865000,107624000,1.50227E+11,7741220,25760,0,2000
19,Egypt,Africa,111247248,45611372,38269053,1668709,440000,480000,300000,1093,238,90,61,345,11,0,348,100,3620,41012,1056,962,528,150,235989,0,2,8,0,13,7,62,17,5879500000,1.0375E+11,1.912E+12,33070000000,73,33431000,31,441,5085,65050,667000,851000,3300000000,64817000000,60089000000,1.784E+12,289000,3083000,182000000,1001450,2450,2612,3500
20,Ukraine,Europe,35661826,18187531,12731272,392280,900000,1200000,100000,324,70,36,24,73,3,0,136,39,1114,18920,658,615,279,89,28138,0,0,0,0,0,0,33,3,53700000000,1.32E+11,5.59981E+11,40510000000,148,20312000,26,410,21733,169694,3000,248000,395000000,18725000000,22856000000,1.104E+12,4248000,10953000,34375000000,603550,2782,5581,1672
21,Poland,Europe,38746310,18985692,15576017,464956,202100,350000,50000,479,59,44,49,105,11,0,216,29,614,23138,677,0,196,62,,0,0,1,0,2,2,3,26,48700000000,3.86947E+11,1.616E+12,1.93783E+11,288,18387000,10,152,19461,420000,24000,722000,113000000,5551000000,20056000000,91492000000,116682000,123782000,28531000000,312685,440,2845,3997
22,Taiwan,Asia,23595274,12269542,1061787,306739,215000,2310000,55000,761,285,0,19,232,18,0,236,91,888,19921,488,1360,234,97,250414,0,0,4,4,22,7,37,14,19740000000,2.09E+11,1.2573E+12,4.92635E+11,53,11498000,8,465,1613,43206,800,1022000,2380000,63747000,21157000000,6230000000,5608000,66855000,1000000,35980,1566,0,0
23,Vietnam,Asia,105758975,54994667,45053323,1797903,600000,5000000,250000,246,41,32,9,60,3,0,101,0,1374,11912,40,535,474,110,107813,0,0,9,0,9,16,35,8,8594000000,1.1E+11,1.354E+12,97955500000,42,56149000,16,1973,2600,195468,187000,494000,4400000000,7676000000,7676000000,6.99426E+11,43614000,83116000,3360000000,331210,3444,4616,47130
24,Saudi Arabia,Asia,36544431,19003104,17468238,621255,257000,0,150000,917,283,81,49,202,16,22,264,34,840,19040,332,467,321,32,49727,0,0,0,0,7,9,9,3,74760000000,2.2561E+11,1.831E+12,4.57949E+11,86,16934000,16,433,5410,221372,11113000,3649000,2.586E+11,1.2187E+11,1.2187E+11,9.423E+12,0,164000,0,2149690,2640,4272,0
25,Thailand,Asia,69920998,36358919,27968399,1118736,360850,200000,25000,493,72,20,54,135,26,0,258,7,635,16935,50,589,26,293,130988,0,1,0,0,7,6,49,5,5887883500,1.02694E+11,1.516E+12,2.2447E+11,108,40814000,21,884,4127,180053,386000,1248000,252750000,30797000000,48898000000,1.38243E+11,13642000,36030000,1063000000,513120,3219,5673,4000
26,Algeria,Africa,47022473,22570787,19185169,752360,325000,135000,150000,608,102,42,63,87,10,5,299,74,1485,26000,224,483,266,110,82880,0,0,6,0,8,8,75,2,25000000000,3335624000,6.99947E+11,81217000000,85,13425000,17,119,4020,104000,1443000,428000,12200000000,1.00726E+11,47963000000,4.504E+12,0,167000,233000000,2381740,998,6734,0
27,Sweden,Europe,10589835,4235934,3558185,105898,24400,32900,25000,169,71,0,6,33,5,1,53,0,110,6795,26,0,0,308,31673,0,0,4,0,0,7,179,8,13000000000,1.00245E+12,6.76353E+11,60863000000,203,5825000,92,361,10910,573134,11000,283000,0,0,889924000,0,1115000,3396000,5000000,450295,3218,2211,2052
28,Canada,North America,38794813,16681770,13500595,426743,68000,27000,5500,351,66,0,28,95,33,6,145,0,74,21704,0,0,0,73,119637,0,0,4,0,12,0,24,0,41000000000,2.33738E+12,2.238E+12,1.17551E+11,1425,22110000,284,716,4942,1042300,5692000,2454000,1.703E+11,1.87686E+11,1.30316E+11,2.06713E+12,43024000,17138000,6582000000,9984670,202080,8893,636
29,Singapore,Asia,6028459,3918498,2628408,66313,51000,252500,12000,230,100,0,9,36,9,11,70,18,170,8998,48,89,24,50,81340,0,0,6,0,6,6,12,4,15000000000,1.71341E+12,7.54758E+11,3.59835E+11,9,3619000,5,3202,0,3500,0,1470000,0,0,13724000000,0,0,784000,0,719,193,0,0
30,Greece,Europe,10461091,4916713,3985676,104611,142700,221350,55000,558,178,0,15,81,8,0,293,29,1344,61888,589,698,152,192,216348,0,0,10,0,13,0,39,7,6500000000,5.5E+11,3.7578E+11,13608000000,81,4645000,57,1215,2345,117000,5000,303000,10000000,3284000,5173000000,991090000,13703000,13988000,2876000000,131957,13676,1110,6
31,Nigeria,Africa,236747130,125475979,90437404,4261448,230000,0,50000,163,14,24,23,28,11,0,66,15,330,8962,40,339,37,133,,0,0,0,0,1,0,109,2,3160000000,32455500000,1.275E+12,41349000000,47,75721000,28,928,3798,195000,1541000,515000,36890000000,39951000000,20719000000,5.761E+12,3043000,3044000,2144000000,923768,853,4477,8600
32,Mexico,North America,130739927,61447766,49811912,2222579,412000,98655,120000,433,3,33,41,176,25,0,178,0,0,19658,20,70,0,167,,0,0,0,5,1,3,140,0,7600000000,3.71359E+11,2.873E+12,2.14317E+11,1485,60042000,35,674,23389,704884,2101000,1737000,5786000000,31422000000,90566000000,1.80322E+11,7453000,18423000,1211000000,1964375,9330,4389,2900
33,Argentina,South America,46994384,20677529,17575900,704916,108000,0,20000,239,23,11,52,71,13,2,94,0,342,21724,55,172,26,44,122128,0,0,2,3,0,6,13,0,928897000,1.7894E+11,1.235E+12,23081000000,756,21906000,37,201,17866,281290,807000,706000,2483000000,43280000000,46228000000,3.96464E+11,1318000,3391000,799999000,2780400,4989,11968,11000
34,North Korea,Asia,26298666,9467520,5312331,420779,1320000,560000,100000,861,368,114,1,173,0,0,205,20,4344,18288,1300,700,1500,207,143304,0,0,13,0,2,4,155,1,4736000000,5500000000,72000000000,5500000000,83,15837000,10,264,7435,25554,0,17000,0,0,0,0,21747000,21747000,10600000000,120538,2495,1607,2250
35,Bangladesh,Asia,168697184,82661620,66129296,3205246,163000,0,6800000,214,42,0,17,86,4,0,65,0,320,11584,56,546,110,118,75280,0,0,2,0,7,6,61,5,4374000000,51965000000,1.413E+12,21860000000,17,74914000,2,558,2460,369105,13000,160000,28000000,24620000000,30384000000,1.26293E+11,754000,7514000,3260000000,148460,580,4413,8370
36,Netherlands,Europe,17772378,7997570,6486918,195496,41380,6765,5000,120,32,0,4,21,0,0,63,12,18,2755,46,0,2,64,124962,0,0,3,0,6,0,4,4,27000000000,4.77995E+12,1.24E+12,69830000000,45,9999000,18,1187,3055,139124,70000,872000,137747000,17774000000,33243000000,1.32608E+11,1825000,10610000,3247000000,41543,451,1053,6237
37,Myanmar,Asia,57527139,30489384,21975367,1035489,150000,20000,55000,317,58,26,30,119,5,0,83,9,445,5980,95,210,180,232,89240,0,0,3,0,6,3,146,2,2948000000,7253400000,2.90507E+11,8590400000,73,22884000,7,101,5031,157000,7000,148000,139000000,16780000000,3788000000,6.37129E+11,1268000,1453000,252000000,676578,1930,6522,12800
38,Norway,Europe,5509733,2203893,1807192,71627,23250,0,40000,97,0,32,4,23,5,0,33,0,44,6552,42,0,0,43,65692,0,0,6,0,4,6,18,5,9710000000,7.16144E+11,4.99528E+11,80459000000,145,3009000,141,1720,3848,94902,2020000,229000,8122200000,1.23727E+11,4548000000,1.54446E+12,117000,1201000,2000000,323802,25148,2566,1577
39,Portugal,Europe,10639726,5319863,4096295,127677,24000,211700,24700,115,28,0,19,23,14,3,31,0,34,10828,24,115,0,194,38657,0,0,2,0,5,2,20,0,4627000000,3.99395E+11,5.29901E+11,53710000000,136,5140900,18,996,3622,136635,12932,191000,22440000,0,4500000000,72000000000,0,0,40000000,92090,1793,1224,764
40,South Africa,Africa,60442647,27803618,14989776,1027525,71235,29350,50000,182,2,0,12,81,0,0,87,10,252,18692,49,134,101,49,40186,0,0,3,0,4,0,33,2,2266800000,58773000000,8.62981E+11,62492000000,575,25158000,8,110,20986,750000,95000,601000,15000000,59128000,4487000000,0,245467000,176148000,9893000000,1219090,2798,5244,0
41,Philippines,Asia,118277063,50859137,41751803,2128987,150000,1200000,35000,202,0,25,26,23,8,0,122,2,10,11878,12,294,0,113,76313,0,0,0,0,2,1,58,0,4380000000,90200000000,1.138E+12,1.03742E+11,246,49477000,70,2203,77,216387,10000,453000,138500000,2251000000,2251000000,98543000000,14483000,37130000,361000000,300000,36289,0,3219
42,Malaysia,Asia,34564810,16245461,13480276,553037,113000,51600,100000,135,26,12,16,31,6,4,45,0,48,13506,0,196,36,100,67735,0,0,2,0,2,6,71,4,4800000000,2.475E+11,1.152E+12,1.13438E+11,102,17308000,35,1750,1851,144403,582000,717000,3600000000,75456000000,42499000000,1.189E+12,3731000,35050000,226000000,329847,4675,2742,7200
43,Iraq,Asia,42083436,17675043,14308368,715418,193000,0,100000,391,26,36,15,139,17,0,197,39,1025,37288,434,610,572,68,,0,0,0,0,0,2,26,0,7923000000,45032500000,5.72939E+11,1.12233E+11,71,11812000,6,74,2272,59623,4437000,918000,1.45019E+11,9860000000,19298000000,3.729E+12,0,0,0,438317,58,3809,5279
44,Switzerland,Europe,8860574,3898653,3163225,97466,101584,49715,5000,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,,0,0,0,0,0,0,0,0,25039000000,2.2E+12,7.33779E+11,8.63892E+11,62,4991000,0,17,5296,71557,300,193000,0,0,3138000000,0,0,161000,0,41277,0,1770,1292
45,Denmark,Europe,5973136,2628180,2126436,77651,20000,12000,51000,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,121180,0,0,0,0,9,0,9,6,7225466250,5.555E+11,4.28385E+11,1.09371E+11,99,3180000,69,715,2682,74558,63000,152000,441000000,1879000000,2208000000,29534000000,0,1788000,0,43094,7314,140,400
46,Colombia,South America,49588357,24298295,19190694,843002,293200,35000,150000,436,16,24,86,72,23,1,257,0,0,3460,6,110,0,233,31090,0,0,4,0,7,2,217,0,10541500000,1.1678E+11,9.78024E+11,59041000000,662,26003000,14,153,2141,205379,800000,320000,2036000000,11290000000,11451000000,87782000000,58747000,7880000,4554000000,1138910,3208,6672,24725
47,Chile,South America,18664652,8959033,7521855,298634,80000,40000,50000,277,45,0,32,92,21,5,87,0,386,8832,48,249,8,130,176065,0,0,4,0,8,0,40,0,5032500000,2.145E+11,5.79201E+11,46377000000,374,9848000,39,249,7282,77801,11000,405000,150000000,1200000000,6916000000,97976000000,499000,8637000,1181000000,756102,6435,7801,12290
48,Finland,Europe,5626414,2306830,1912981,56264,24000,870000,53800,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,19434,0,0,0,0,0,0,8,18,6779661000,6.6E+11,3.21126E+11,16929000000,98,2880000,37,282,5918,454000,8000,175000,0,0,1157000000,0,808000,4141000,0,338145,1250,2563,8000
49,Peru,South America,32600249,15648120,12681497,619405,120000,385000,60000,256,15,22,38,72,12,0,111,16,240,6560,12,290,49,71,170344,0,0,4,0,7,8,13,0,3420000000,59400000000,5.17644E+11,71394000000,166,18529000,20,111,1855,18699,118000,210000,858890000,12270000000,7185000000,3.00159E+11,153000,712000,1567000000,1285216,2414,7062,8808
50,Venezuela,South America,31250306,15625153,12812625,625006,109000,8000,220000,229,30,0,49,75,3,1,88,10,172,8802,48,100,36,34,,0,0,1,0,1,0,25,0,4093120000,1.1033E+11,2.95975E+11,10095500000,502,11548000,31,272,447,96189,761000,367000,3.03806E+11,17696000000,17696000000,5.674E+12,197000,82000,730999000,912050,2800,5267,7100
51,Romania,Europe,18148155,9437041,7731114,199630,81300,55000,15000,140,21,0,14,44,2,0,65,0,328,10774,0,720,243,20,,0,0,0,0,3,7,3,5,9700000000,1.32E+11,7.72107E+11,73000000000,82,8282000,11,127,10628,84185,67000,221000,600000000,9501000000,10055000000,1.0548E+11,18160000,19404000,291000000,238391,225,2844,1731
52,Ethiopia,Africa,118550298,56904143,35327989,2726657,162000,0,0,103,25,0,8,34,0,0,33,7,338,7256,35,309,40,0,,0,0,0,0,0,0,0,0,2097575000,25761000000,3.54604E+11,3131288000,57,61664000,0,12,659,120171,0,110000,428000,0,0,24919000000,8000,660000,0,1104300,0,5925,0
53,Czechia,Europe,10837890,5093808,4129236,97541,28000,4200,0,99,12,16,10,17,2,0,42,4,43,6340,50,0,16,0,,0,0,0,0,0,0,0,0,6750000000,2.112E+11,5.19007E+11,1.48379E+11,243,5502000,0,0,9548,55744,4000,211000,15000000,224725000,7602000000,3964000000,37423000,40239000,3595000000,78867,0,2046,664
54,United Arab Emirates,Asia,10032213,5818684,4945881,80258,65000,130000,12000,551,99,16,37,147,27,4,247,30,354,8707,165,99,49,181,44188,0,0,0,0,0,11,34,2,2212360382,2.64E+11,7.19733E+11,1.89491E+11,42,6668000,20,655,0,4080,4146000,939000,97800000000,56683000000,66091000000,6091000000,0,3273000,0,83600,1318,1066,0
55,Hungary,Europe,9855745,4632200,3794462,118269,41600,20000,15000,69,12,0,3,12,0,0,44,8,209,7797,24,295,0,0,,0,0,0,0,0,0,0,0,4576000000,1.375E+11,3.88906E+11,45719000000,109,5006000,0,1,7687,203601,36000,175000,12100000,1523000000,9485000000,3738000000,5450000,6180000,2909000000,103000,0,2106,1622
56,Angola,Africa,37202061,7440412,3720206,372021,107000,0,10000,298,71,12,31,66,2,0,116,15,309,5500,25,575,113,31,,0,0,0,0,0,0,29,0,1101360000,45774500000,2.65868E+11,13942000000,106,15223000,21,64,2761,26000,1175000,127000,7783000000,5514000000,1397000000,3.43002E+11,0,0,0,1246700,1600,5369,1300
57,Kazakhstan,Asia,20260006,9117003,6928922,283640,110000,135000,55000,198,63,25,19,26,0,0,65,12,350,7736,126,194,287,26,,0,0,0,0,0,0,23,2,2048700000,91321500000,7.0552E+11,35965000000,132,9587000,0,122,16636,96167,1955000,288000,30000000000,27011000000,22623000000,2.407E+12,118195000,84852000,25605000000,2724900,26,13364,43983
58,Uzbekistan,Asia,36520593,18990708,15959499,730412,48000,0,20000,192,58,13,13,7,0,0,101,34,340,2970,147,236,108,0,,0,0,0,0,0,0,0,0,2803500000,19652500000,3.19174E+11,34558000000,74,14270000,0,0,4642,86496,64000,91000,594000000,47500000000,43227000000,1.841E+12,5356000,7396000,1375000000,447400,420,6893,1100
59,Morocco,Africa,37387585,17946041,15254135,635589,195800,150000,50000,260,83,0,31,75,4,2,78,0,903,7877,396,153,129,111,,0,0,0,0,6,1,105,0,13400000000,45645000000,3.3748E+11,36328000000,49,12284000,12,94,2067,57300,25,318000,684000,82595000,243201000,1444000000,0,11940000,96000000,715550,1835,2363,0
60,Azerbaijan,Asia,10650239,5218617,3908638,159754,126400,300000,15000,154,12,18,3,35,0,0,86,16,497,7642,198,650,268,38,,0,0,4,0,0,0,17,4,5000000000,16159500000,2.15896E+11,13749000000,32,5473000,0,312,2944,24981,618000,105000,7000000000,34175000000,11759000000,1.699E+12,0,60000,0,86600,713,2468,0
61,Belgium,Europe,11977634,4910830,3880753,119776,25000,6400,0,108,43,0,7,38,0,0,20,0,0,4606,0,0,0,9,10190,0,0,0,0,2,0,2,5,10200000000,1.44926E+12,7.51592E+11,40813000000,49,5432000,7,198,3602,118414,11000,585000,0,13436000,15347000000,0,1270000,4869000,4100000000,30528,67,1297,2043
62,Bulgaria,Europe,6782659,3187850,2611324,61044,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,,0,0,0,0,4,3,0,10,1373232000,27138500000,2.14061E+11,46334000000,111,3103000,2,78,4029,19512,4000,101000,15000000,20837000,2801000000,5663000000,35516000,35970000,2366000000,110880,354,1806,470
63,Serbia,Europe,6652212,3259584,2574406,79827,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,,0,0,0,0,0,0,7,5,2287461000,35200000000,1.62213E+11,27569000000,43,3333000,0,0,3333,44248,13000,82000,77500000,353376000,2939000000,48139000000,35129000,38297000,7514000000,77474,0,2322,587
64,Syria,Asia,23865423,15273871,13245310,668232,170000,50000,50000,207,104,9,3,15,1,0,77,14,365,11148,90,641,204,27,,0,0,0,0,0,0,16,4,291850000,4309500000,55935900000,341962500,39,6315000,3,24,2052,69873,75000,138000,2500000000,3085000000,3084000000,2.40693E+11,0,47000,0,187437,193,2363,900
65,Ecuador,South America,18309984,8422593,6738074,329580,41250,118000,1500,102,0,0,20,34,8,0,46,0,54,5204,5,106,24,30,,0,0,2,0,2,6,5,0,2376000000,44898000000,2.60213E+11,4442000000,310,8893000,6,154,965,43950,480000,225000,8273000000,309778000,309778000,10902000000,0,21000,24000000,283560,2237,2237,1500
66,Democratic Republic of the Congo,Africa,115403027,39237029,31389623,2538867,166580,31000,10000,46,1,6,6,1,0,0,32,8,105,916,8,60,25,16,,0,0,0,0,0,0,16,0,796560000,4994000000,1.54012E+11,3898125000,272,35983000,3,24,4007,152373,19000,26000,180000000,380000,380000,991090000,0,23000,987999000,2344858,37,10481,15000
67,Cuba,North America,10966038,5921661,4737328,142558,45500,40000,1145000,31,11,0,4,3,0,0,13,4,113,6864,60,130,15,19,,0,0,0,0,1,1,6,4,4508784000,33066000000,1.414E+11,10442000000,123,5317000,34,65,8367,60000,34000,165000,124000000,659434000,659434000,70792000000,0,2000,0,110860,3735,29,240
68,Austria,Europe,8967982,4035592,3632033,98648,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,,0,0,0,0,0,0,0,0,5475750000,6.3E+11,5.90354E+11,31212000000,61,4825000,0,1,6123,137039,18000,245000,35200000,618209000,8136000000,5040000000,1271000,5026000,0,83871,0,2524,358
69,Sri Lanka,Asia,21982608,10551652,8551235,307757,346000,90000,0,85,5,0,14,8,3,0,55,9,44,3190,0,96,28,270,27136,0,0,0,0,5,0,59,0,1265400000,46409500000,2.87132E+11,3450700000,18,8707000,6,96,1562,114093,0,121000,0,0,0,0,0,2084000,0,65610,1340,0,160
70,Belarus,Europe,9501451,5035769,3724569,104516,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,,0,0,0,0,0,0,0,0,1077900000,44000000000,2.54407E+11,8118000000,46,4956000,0,4,5528,86600,30000,131000,198000000,73929000,16683000000,2832000000,0,778000,0,207600,0,3599,2500
71,Slovakia,Europe,5563649,2837461,2353424,61200,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,,0,0,0,0,0,0,0,0,2656000000,1.276E+11,2.13053E+11,11288000000,114,2823000,0,0,3627,56926,7000,94000,9000000,52556000,60424000,14158000000,2343000,5794000,19000000,49035,0,1587,172
72,Qatar,Asia,2552088,638022,490001,12760,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,,0,0,0,0,0,4,105,0,9432000000,1.87E+11,3.04973E+11,51539000000,8,2035000,6,123,0,7039,1815000,297000,25244000,1.69595E+11,41515000000,2.3861E+13,0,0,0,11586,563,87,0
73,Sudan,Africa,50467278,26747657,17108407,1312149,92000,85000,17500,165,37,27,13,15,0,0,64,35,224,2900,100,287,192,6,,0,0,0,0,0,0,6,0,342000000,37846000000,1.36039E+11,206763700,41,13590000,4,14,7251,31000,68000,127000,1250000000,0,0,84951000000,0,0,0,1861484,853,6819,4068
74,Croatia,Europe,4150116,2033557,1564594,53952,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,,0,0,0,0,0,0,10,1,1176000000,55000000000,1.59305E+11,3176000000,40,1744000,16,384,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,702000,0,56594,5835,2237,4714
75,Jordan,Asia,11174024,3463947,2983464,145262,100500,65000,35000,274,44,6,13,66,13,0,155,44,1458,16624,358,80,56,27,,0,0,0,0,0,0,27,0,2500000000,25646500000,1.06806E+11,15715600000,17,3063000,1,34,509,7203,20,97000,1000000,187262000,4382000000,6031000000,0,479000,0,89342,26,1744,0
76,Libya,Africa,7361263,3827857,3290485,125141,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,,0,0,0,0,0,1,1,1,3060000000,3322000000,1.21951E+11,92427000000,66,2398000,14,96,2000,37000,1245000,230000,48363000000,11832000000,9212000000,1.505E+12,0,0,0,1759540,1770,4339,0
