rank,country,region,total_population,total_military_manpower,fit_for_service,population_reaching_military_age_annually,active_personnel,reserve_personnel,paramilitary,total_military_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,trainer_aircraft,special_mission_aircraft,tanker_aircraft,total_military_helicopters,attack_helicopters,tanks,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,total_naval_fleet,total_naval_fleet_tonnage_mt,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budget_usd,external_debt_usd,purchasing_power_parity_usd,foreign_exchange_and_gold_reserves_usd,total_serviceable_airports,labour_force,major_ports_and_terminals,total_merchant_marine_fleet,railway_coverage_km,roadway_coverage_km,oil_production_bbl,oil_consumption_bbl,proven_oil_reserves_bbl,natural_gas_production_cum,natural_gas_consumption_cum,proven_natural_gas_reserves_cum,coal_production_cum,coal_consumption_mt,proven_coal_reserves_cum,total_land_area_sq_km,coastline_coverage_km,border_coverage_km,waterway_coverage_km
93,Cameroon,Africa,30966105,10528476,6224187,495458,40000,0,12500,35,0,0,6,6,2,0,21,0,0,430,18,52,20,51,,0,0,0,0,0,0,51,0,554952283,9506000000,1.38925E+11,5754093000,37,11965000,7,198,987,77589,54000,40000,200000000,2595000000,877058000,1.35071E+11,0,0,0,475440,400,5018,0
94,Georgia,Asia,4900961,2744538,2225036,93118,55000,152500,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,,0,0,0,0,0,0,31,4,495629055,13488000000,83656000000,5002000000,19,1853000,3,26,1363,20295,300,32000,35000000,8760000,2796000000,8495000000,256000,516000,900999000,69700,310,1814,0
95,Cambodia,Asia,17063669,8190561,5733393,307146,221000,0,10000,25,0,0,4,0,0,0,21,0,644,3627,30,430,463,20,,0,0,0,0,0,0,20,0,860000000,13200000000,85900000000,17801000000,13,9175000,2,195,642,47263,0,73000,0,0,0,0,113000,2215000,0,181035,443,2530,3700
96,Slovenia,Europe,2097893,1006989,826570,22867,7300,26000,5000,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,,0,0,0,0,0,0,2,0,886860000,55000000000,1.02036E+11,2370000000,42,1055000,2,8,1207,38985,0,45000,0,3863000,840902000,0,2358000,2553000,95000000,20273,47,1211,710
97,Ireland,Europe,5233461,2407392,1999182,57568,7765,1700,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,,0,0,0,0,0,0,8,0,1500000000,3.3E+12,6.08463E+11,12905000000,100,2766000,21,94,1688,99830,600,156000,0,1447000000,5280000000,9911000000,0,1322000,40000000,70273,1448,443,956
98,Mongolia,Asia,3281676,1870555,1552233,62352,35000,135000,50000,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,,0,0,0,0,0,0,0,0,165110000,19542500000,56264000000,4782000000,35,1403000,0,318,1815,113200,15000,36000,0,0,0,0,28276000,6393000,2520000000,1564116,0,8082,580
99,Latvia,Europe,1801246,810561,648449,16211,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,,0,0,0,0,0,0,11,6,1138000000,44180400000,71154000000,4957000000,56,978000,5,83,2216,70244,2000,35000,0,0,828214000,0,0,20000,0,64589,498,1370,300
100,Uruguay,South America,3425330,1575652,1322177,54805,25000,0,5000,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,,0,0,0,0,0,0,2,2,772400000,49500000000,1.05096E+11,16257000000,64,1775000,8,58,1673,77732,400,52000,0,0,86037000,0,0,18000,0,176215,660,1591,1600
101,Honduras,North America,9529188,4192843,3144632,95292,52225,60000,23000,40,4,7,10,10,1,0,8,0,11,614,0,32,0,98,,0,0,0,0,0,0,93,0,413635000,8805500000,68854000000,7543000000,129,4676000,8,489,699,14742,20,67000,0,0,0,0,0,190000,0,112090,832,1575,465
102,Ivory Coast,Africa,29981758,12292521,7855221,569653,22000,0,5500,19,0,0,4,2,3,0,10,3,5,656,0,2,3,3,,0,0,0,0,0,0,3,0,669600935,19311500000,2.02758E+11,7583484000,29,10954000,5,25,660,81996,29000,60000,100000000,2635000000,2635000000,28317000000,0,0,0,322463,515,3458,980
